# Global relative AAM anomaly — ERA5 reanalysis + GFS f000 gap-fill
# Units: cos²φ-weighted mean sigma
# Generated: 2026-09-06
# Cols: date  sigma
2026.07.08    0.841701
2026.07.09    0.821960
2026.07.10    0.796906
2026.07.11    0.806331
2026.07.12    0.792295
2026.07.13    0.777349
2026.07.14    0.781649
2026.07.15    0.742726
2026.07.16    0.710881
2026.07.17    0.666439
2026.07.18    0.656011
2026.07.19    0.626016
2026.07.20    0.554845
2026.07.21    0.507031
2026.07.22    0.486675
2026.07.23    0.480829
2026.07.24    0.457928
2026.07.25    0.535497
2026.07.26    0.546871
2026.07.27    0.544207
2026.07.28    0.527099
2026.07.29    0.554914
2026.07.30    0.557818
2026.07.31    0.590705
2026.08.01    0.601844
2026.08.02    0.610190
2026.08.03    0.646328
2026.08.04    0.652506
2026.08.05    0.666230
2026.08.06    0.666182
2026.08.07    0.669468
2026.08.08    0.639251
2026.08.09    0.566080
2026.08.10    0.568828
2026.08.11    0.654256
2026.08.12    0.791346
2026.08.13    0.882254
2026.08.14    0.913341
2026.08.15    0.889054
2026.08.16    0.828330
2026.08.17    0.758849
2026.08.18    0.678170
2026.08.19    0.675078
2026.08.20    0.693267
2026.08.21    0.783923
2026.08.22    0.797773
2026.08.23    0.765640
2026.08.24    0.755075
2026.08.25    0.768781
2026.08.26    0.742153
2026.08.27    0.751793
2026.08.28    0.701977
2026.08.29    0.679495
2026.08.30    0.659691
2026.08.31    0.608755
2026.09.01    0.605543
2026.09.02    0.676695
2026.09.03    0.687457
2026.09.04    0.622911
2026.09.05    0.607554
