# AAM_SERIES  Format Version of 2015.11.30
#
# This table contains the atmospheric angular momentum,
# mass and motion term separately as well as the atmospheric
# excitation function of the Earth rotation.
# 
# The atmospheric angular momentum was computed by integration
# of the 3D model of distribution of air density and wind speed
# derived from the output of the numerical weather model
# Mass term was computed using both an inverted barometer and 
# non-inverted barometer hypotheses.
# 
# The variant with the non-inverted barometer hypothesis invoked
# means that the change of the sea level height induced 
# by atmospheric pressure change was ignored
# 
# The variant with the inverted barometer hypothesis invoked
# means that the reaction of the sea level height induced
# by atmospheric pressure change complete counerbalances
# the atmospheric pressure and as a results the bottom pressure that
# is the some of the atmospheric pressure and the sea column pressure
# is constant. The mass term over the ocean was excluded from integration
# 
# Therefore, the mass term with the inverted barometer hypothesis invoked
# is computed by integrarging only over the land. The mass term with the 
# non-inverted barometer hypothesis invoked # is computed by integrarging
# over entire Earth that includes both land and sea.
#
# Format:
#
#  Column  1:   1:19   A19    Calendar date
#  Column  2:  21:25   I5     Calendar date, MJD part. Units: day
#  Column  3:  27:32   F7.1   Calendar date, TAI part. Units: sec
#  Column  4:  36:48   E13.6  Mass term   of the angular momentum I31. NoIB Units: kg/m^2
#  Column  5:  50:62   E13.6  Mass term   of the angular momentum I32. NoIB Units: kg/m^2
#  Column  6:  64:76   E13.6  Mass term   of the angular momentum I33. NoIB Units: kg/m^2
#  Column  4:  80:92   E13.6  Mass term   of the angular momentum I31.   IB Units: kg/m^2
#  Column  5:  94:106  E13.6  Mass term   of the angular momentum I32.   IB Units: kg/m^2
#  Column  6: 108:120  E13.6  Mass term   of the angular momentum I33.   IB Units: kg/m^2
#  Column  7: 124:136  E13.6  Motion term of the angular momentum H1.       Units: kg/(s*m^2)
#  Column  8: 138:150  E13.6  Motion term of the angular momentum H2.       Units: kg/(s*m^2)
#  Column  9: 152:164  E13.6  Motion term of the angular momentum H3.       Units: kg/(s*m^2)
#  Column 10: 168:180  E13.6  Atmospheric Earth rotation excitation function, NoIB, component 1. Units: 1/s
#  Column 11: 182:194  E13.6  Atmospheric Earth rotation excitation function, NoIB, component 2. Units: 1/s
#  Column 12: 196:208  E13.6  Atmospheric Earth rotation excitation function, NoIB, component 3. Units: 1/s
#  Column 13: 212:224  E13.6  Atmospheric Earth rotation excitation function,   IB, component 1. Units: 1/s
#  Column 14: 226:238  E13.6  Atmospheric Earth rotation excitation function,   IB, component 2. Units: 1/s
#  Column 15: 240:252  E13.6  Atmospheric Earth rotation excitation function,   IB, component 3. Units: 1/s
#
# Generated by: AAM_FCS_INTRP  Version of 2015.08.12
# Generated on: 2026.04.04-07:03:27
# Data source:  GEOSadas-5_43_0
# Data title:   3d,3-Hourly,Instantaneous,Model-Level,Forecast Fields (wind,temperature)
# Assimilation start date: 2015.07.20-12:00:00.000 MJD: 57223 TAI: 43200.
# Assimilation end date:   2026.04.04-00:00:00.000 MJD: 61134 TAI:     0.
# Forecast end date:       2026.04.07-00:00:00.000 MJD: 61137 TAI:     0.
# Number of epochs:          31259
#                                                                                                                                                                                                                                                           
#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  TIME TAG                         AAM MASS TERM, non-IB                       AAM MASS TERM, non-IB                       AAM MOTION TERM                             EXCITATION FUNCTION, no-IB                  EXCITATION FUNCTION, IB                 
#                                                                                                                                                                                                                                                           
#  Date             MJD   TAI       I31_noIB      I32_noIB      I33_noIB        I31_IB        I32_IB        I33_IB          H1            H2            H3              EF1_noIB      EF2_noIB      EF3_noIB        EF1_IB        EF2_IB        EF3_IB      
#                                   kg/m^2        kg/m^2        kg/m^2          kg/m^2        kg/m^2        kg/m^2          kg/(s*m^2)    kg/(s*m^2)    kg/(s*m^2)      1/s           1/s           1/s             1/s           1/s           1/s         
#                                                                                                                                                                                                                                                           
2015.07.20-12:00:00 57223 43200.0   9.447420D+28  4.074970D+29  1.421740D+32    1.603650D+28  3.590970D+29  1.420580D+32    4.121540D+23 -4.567440D+24  1.147270D+26    4.292030D-07  1.319830D-06  1.514140D-06    1.015160D-07  1.117630D-06  1.512920D-06
2015.07.20-15:00:00 57223 54000.0   8.769830D+28  4.068030D+29  1.421820D+32    1.787710D+28  3.554830D+29  1.420600D+32   -2.079480D+24 -3.688500D+24  1.141540D+26    1.922030D-07  1.390550D-06  1.514110D-06   -9.948770D-08  1.176150D-06  1.512840D-06
2015.07.20-18:00:00 57223 64800.0   8.049280D+28  4.059520D+29  1.421870D+32    1.328470D+28  3.539030D+29  1.420610D+32   -3.148310D+24 -1.479230D+24  1.142110D+26    7.257750D-08  1.572040D-06  1.514180D-06   -2.081960D-07  1.354600D-06  1.512860D-06
2015.07.20-21:00:00 57223 75600.0   7.494150D+28  4.075620D+29  1.421870D+32    8.346220D+27  3.523530D+29  1.420640D+32   -2.473510D+24  7.663040D+23  1.145310D+26    1.059050D-07  1.766840D-06  1.514230D-06   -1.723080D-07  1.536200D-06  1.512940D-06
2015.07.21-00:00:00 57224     0.0   7.288690D+28  4.078440D+29  1.421910D+32    7.615630D+27  3.476430D+29  1.420680D+32   -5.383880D+23  2.220370D+24  1.144930D+26    2.594040D-07  1.889810D-06  1.514280D-06   -1.327850D-08  1.638310D-06  1.512980D-06
2015.07.21-03:00:00 57224 10800.0   7.368810D+28  4.075140D+29  1.422050D+32    7.603040D+27  3.446920D+29  1.420740D+32    1.731850D+24  2.056570D+24  1.139380D+26    4.529000D-07  1.874710D-06  1.514320D-06    1.768180D-07  1.612260D-06  1.512940D-06
2015.07.21-06:00:00 57224 21600.0   7.359590D+28  4.097180D+29  1.422130D+32    5.914900D+27  3.460970D+29  1.420760D+32    3.241280D+24  3.315730D+23  1.135520D+26    5.789410D-07  1.739440D-06  1.514320D-06    2.961920D-07  1.473650D-06  1.512880D-06
2015.07.21-09:00:00 57224 32400.0   7.530850D+28  4.133910D+29  1.422120D+32    4.502470D+27  3.487350D+29  1.420790D+32    3.087380D+24 -1.983840D+24  1.138050D+26    5.732060D-07  1.560850D-06  1.514360D-06    2.774020D-07  1.290740D-06  1.512970D-06
2015.07.21-12:00:00 57224 43200.0   7.646750D+28  4.158430D+29  1.422130D+32    6.762610D+27  3.478360D+29  1.420790D+32    1.269940D+24 -3.718810D+24  1.136130D+26    4.258230D-07  1.425770D-06  1.514340D-06    1.346190D-07  1.141670D-06  1.512920D-06
2015.07.21-15:00:00 57224 54000.0   7.279450D+28  4.135930D+29  1.422210D+32    8.479500D+27  3.443220D+29  1.420800D+32   -7.494310D+23 -3.669580D+24  1.131710D+26    2.413410D-07  1.420500D-06  1.514330D-06   -2.734600D-08  1.131110D-06  1.512850D-06
2015.07.21-18:00:00 57224 64800.0   6.940940D+28  4.124890D+29  1.422230D+32    3.594350D+27  3.426810D+29  1.420800D+32   -2.070340D+24 -1.955900D+24  1.134430D+26    1.165630D-07  1.559420D-06  1.514410D-06   -1.583910D-07  1.267790D-06  1.512900D-06
2015.07.21-21:00:00 57224 75600.0   6.699650D+28  4.153420D+29  1.422220D+32   -1.581350D+27  3.417810D+29  1.420810D+32   -2.020190D+24 -4.616520D+22  1.137690D+26    1.106830D-07  1.731300D-06  1.514460D-06   -1.758130D-07  1.423980D-06  1.512980D-06
2015.07.22-00:00:00 57225     0.0   6.453970D+28  4.135530D+29  1.422260D+32   -2.168790D+27  3.370300D+29  1.420840D+32   -6.707890D+23  1.290320D+24  1.136140D+26    2.134420D-07  1.835760D-06  1.514470D-06   -6.524410D-08  1.516070D-06  1.512980D-06
